Date,MMWR_week,State Code,Administered_Cumulative,Administered_Janssen_Cumulative,Administered_Moderna_Cumulative,Administered_Pfizer_Cumulative,Administered_Unk_Manuf_Cumulative,Admin_Per_100K_Cumulative,Administered_Daily,Administered_Janssen_Daily,Administered_Moderna_Daily,Administered_Pfizer_Daily,Administered_Unk_Manuf_Daily,Admin_Per_100K_Daily
1/26/2021,4,US,23540994,0,10431466,13009981,99547,7091,806751,0,347034,457982,1735,243
1/27/2021,4,US,24652634,0,11001991,13550835,99808,7426,1111640,0,570525,540854,261,335
1/28/2021,4,US,26193682,0,11737592,14355980,100110,7890,1541048,0,735601,805145,302,464
1/29/2021,4,US,27884661,0,12619210,15164858,100593,8399,1690979,0,881618,808878,483,509
1/30/2021,4,US,29577902,0,13499942,15977015,100945,8909,1693241,0,880732,812157,352,510
1/31/2021,5,US,31123299,0,14246089,16775916,101294,9375,1545397,0,746147,798901,349,466
2/1/2021,5,US,32222402,0,14756609,17364398,101395,9706,1099103,0,510520,588482,101,331
2/2/2021,5,US,32780860,0,15006565,17672866,101429,9874,558458,0,249956,308468,34,168
2/3/2021,5,US,33878254,0,15567188,18209204,101862,10204,1097394,0,560623,536338,433,330
2/4/2021,5,US,35203710,0,16260102,18841309,102299,10604,1325456,0,692914,632105,437,400
2/5/2021,5,US,36819212,0,17133644,19582865,102703,11090,1615502,0,873542,741556,404,486
2/6/2021,5,US,39037964,0,18336515,20598212,103237,11759,2218752,0,1202871,1015347,534,669
2/7/2021,6,US,41210937,0,19485089,21622193,103655,12413,2172973,0,1148574,1023981,418,654
2/8/2021,6,US,42417617,0,20066305,22247484,103828,12777,1206680,0,581216,625291,173,364
2/9/2021,6,US,43206190,0,20416765,22685406,104019,13014,788573,0,350460,437922,191,237
2/10/2021,6,US,44769970,0,21189540,23475749,104681,13485,1563780,0,772775,790343,662,471
2/11/2021,6,US,46390270,0,22038088,24246868,105314,13973,1620300,0,848548,771119,633,488
2/12/2021,6,US,48410558,0,23111715,25192628,106215,14582,2020288,0,1073627,945760,901,609
2/13/2021,6,US,50641884,0,24297615,26237417,106852,15254,2231326,0,1185900,1044789,637,672
2/14/2021,7,US,52884356,0,25505313,27271797,107246,15929,2242472,0,1207698,1034380,394,675
2/15/2021,7,US,54260570,0,26238684,27914550,107336,16344,1376214,0,733371,642753,90,415
2/16/2021,7,US,55220364,0,26738383,28374410,107571,16633,959794,0,499699,459860,235,289
2/17/2021,7,US,56281827,0,27287041,28886690,108096,16953,1061463,0,548658,512280,525,320
2/18/2021,7,US,57737767,0,28043413,29585627,108727,17391,1455940,0,756372,698937,631,438
2/19/2021,7,US,59585043,0,29044336,30431247,109460,17948,1847276,0,1000923,845620,733,557
2/20/2021,7,US,61289500,0,29909492,31270062,109946,18461,1704457,0,865156,838815,486,513
2/21/2021,8,US,63090634,0,30747615,32232422,110597,19003,1801134,0,838123,962360,651,542
2/22/2021,8,US,64177474,0,31212925,32853883,110666,19331,1086840,0,465310,621461,69,328
2/23/2021,8,US,65032083,0,31569021,33352170,110892,19588,854609,0,356096,498287,226,257
2/24/2021,8,US,66464947,0,32194245,34159027,111675,20020,1432864,0,625224,806857,783,432
2/25/2021,8,US,68274117,0,33066503,35095003,112611,20565,1809170,0,872258,935976,936,545
2/26/2021,8,US,70454064,0,34181226,36159403,113435,21221,2179947,0,1114723,1064400,824,656
2/27/2021,8,US,72806180,0,35422721,37269195,114264,21930,2352116,0,1241495,1109792,829,709
2/28/2021,9,US,75236003,0,36694414,38426567,115022,22662,2429823,0,1271693,1157372,758,732
3/1/2021,9,US,76899987,377,37522293,39262524,114793,23163,1663984,377,827879,835957,-229,501
3/2/2021,9,US,78631601,401,38319678,40196532,114990,23684,1731614,24,797385,934008,197,521
3/3/2021,9,US,80540474,516,39248180,41175807,115971,24259,1908873,115,928502,979275,981,575
3/4/2021,9,US,82572848,1001,40261524,42193285,117038,24872,2032374,485,1013344,1017478,1067,613
3/5/2021,9,US,85008094,8590,41507728,43373717,118059,25605,2435246,7589,1246204,1180432,1021,733
3/6/2021,9,US,87912323,41156,42977312,44774584,119271,26480,2904229,32566,1469584,1400867,1212,875
3/7/2021,10,US,90351750,103901,44195607,45932122,120120,27215,2439427,62745,1218295,1157538,849,735
3/8/2021,10,US,92089852,208590,44936695,46824290,120277,27738,1738102,104689,741088,892168,157,523
3/9/2021,10,US,93692598,308181,45635740,47628226,120451,28221,1602746,99591,699045,803936,174,483
3/10/2021,10,US,95721290,458911,46535646,48605159,121574,28832,2028692,150730,899906,976933,1123,611
3/11/2021,10,US,98203893,638469,47733656,49708920,122848,29580,2482603,179558,1198010,1103761,1274,748
3/12/2021,10,US,101128005,873726,49169578,50960400,124301,30461,2924112,235257,1435922,1251480,1453,881
3/13/2021,10,US,105703501,1189207,51292130,53096054,126110,31839,4575496,315481,2122552,2135654,1809,1378
3/14/2021,11,US,107060274,1273958,51951820,53708091,126405,32247,1356773,84751,659690,612037,295,408
3/15/2021,11,US,109081860,1428465,52883263,54643581,126551,32856,2021586,154507,931443,935490,146,609
3/16/2021,11,US,110737856,1569675,53647312,55393141,127728,33355,1655996,141210,764049,749560,1177,499
3/17/2021,11,US,113037627,1766131,54643195,56499018,129283,34048,2299771,196456,995883,1105877,1555,693
3/18/2021,11,US,115730008,1911052,55811286,57876875,130795,34859,2692381,144921,1168091,1377857,1512,811
3/19/2021,11,US,118313818,2025349,56941640,59214724,132105,35637,2583810,114297,1130354,1337849,1310,778
3/20/2021,11,US,121441497,2163681,58294583,60849627,133606,36579,3127679,138332,1352943,1634903,1501,942
3/21/2021,12,US,124481412,2298614,59518840,62529418,134540,37495,3039915,134933,1224257,1679791,934,916
3/22/2021,12,US,126509736,2406337,60275003,63693721,134675,38106,2028324,107723,756163,1164303,135,611
3/23/2021,12,US,128217029,2489153,60913292,64679659,134925,38620,1707293,82816,638289,985938,250,514
3/24/2021,12,US,130473853,2622182,61719260,65995871,136540,39300,2256824,133029,805968,1316212,1615,680
3/25/2021,12,US,133305295,2734367,62877755,67555076,138097,40153,2831442,112185,1158495,1559205,1557,853
3/26/2021,12,US,136684688,2863246,64313721,69368232,139489,41171,3379393,128879,1435966,1813156,1392,1018
3/27/2021,12,US,140180735,2982453,65811340,71246219,140723,42224,3496047,119207,1497619,1877987,1234,1053
3/28/2021,13,US,143462691,3090712,67249447,72981111,141421,43212,3281956,108259,1438107,1734892,698,988
3/29/2021,13,US,145812835,3155418,68177850,74338025,141542,43920,2350144,64706,928403,1356914,121,708
3/30/2021,13,US,147602345,3215657,68858013,75386890,141785,44459,1789510,60239,680163,1048865,243,539
3/31/2021,13,US,150273292,3307113,69930956,76891912,143311,45264,2670947,91456,1072943,1505022,1526,805
4/1/2021,13,US,153631404,3429880,71338865,78717917,144742,46275,3358112,122767,1407909,1826005,1431,1011
4/2/2021,13,US,157606463,3617377,72997571,80845236,146279,47472,3975059,187497,1658706,2127319,1537,1197
4/3/2021,13,US,161688422,3840647,74713387,82986550,147838,48702,4081959,223270,1715816,2141314,1559,1230
4/4/2021,14,US,165053746,4054089,76038933,84810406,150318,49716,3365324,213442,1325546,1823856,2480,1014
4/5/2021,14,US,167187795,4204015,76791212,86041963,150605,50358,2134049,149926,752279,1231557,287,642
4/6/2021,14,US,168592075,4299901,77285350,86855993,150831,50781,1404280,95886,494138,814030,226,423
4/7/2021,14,US,171476655,4544552,78315776,88463874,152453,51650,2884580,244651,1030426,1607881,1622,869
4/8/2021,14,US,174879716,4917225,79551820,90256586,154085,52675,3403061,372673,1236044,1792712,1632,1025
4/9/2021,14,US,178837781,5382365,80944104,92355733,155579,53867,3958065,465140,1392284,2099147,1494,1192
4/10/2021,14,US,183467709,5972101,82622178,94715143,158287,55262,4629928,589736,1678074,2359410,2708,1395
4/11/2021,15,US,187047131,6453740,83847244,96586783,159364,56340,3579422,481639,1225066,1871640,1077,1078
4/12/2021,15,US,189692045,6859877,84694388,97978125,159655,57137,2644914,406137,847144,1391342,291,797
4/13/2021,15,US,192282781,7233726,85435687,99453295,160073,57917,2590736,373849,741299,1475170,418,780
4/14/2021,15,US,194791836,7517671,86221076,100891617,161472,58673,2509055,283945,785389,1438322,1399,756
4/15/2021,15,US,198317040,7736781,87539652,102877491,163116,59735,3525204,219110,1318576,1985874,1644,1062
4/16/2021,15,US,202282923,7848027,89199649,105070417,164830,60929,3965883,111246,1659997,2192926,1714,1194
4/17/2021,15,US,205871913,7902746,90718986,107083884,166297,62010,3588990,54719,1519337,2013467,1467,1081
4/18/2021,16,US,209406814,7935549,92181455,109122092,167718,63075,3534901,32803,1462469,2038208,1421,1065
4/19/2021,16,US,211581309,7949021,93002433,110461905,167950,63730,2174495,13472,820978,1339813,232,655
4/20/2021,16,US,213388238,7961251,93672874,111585824,168289,64274,1806929,12230,670441,1123919,339,544
4/21/2021,16,US,215951909,7993255,94684047,113104771,169836,65047,2563671,32004,1011173,1518947,1547,773
4/22/2021,16,US,218947643,8018365,95913701,114844028,171549,65949,2995734,25110,1229654,1739257,1713,902
4/23/2021,16,US,222322230,8040727,97353734,116754631,173138,66965,3374587,22362,1440033,1910603,1589,1016
4/24/2021,16,US,225640460,8058239,98778973,118628496,174752,67965,3318230,17512,1425239,1873865,1614,1000
4/25/2021,17,US,228661408,8079863,100031926,120373717,175902,68875,3020948,21624,1252953,1745221,1150,910
4/26/2021,17,US,230768454,8087269,100830533,121674501,176151,69509,2107046,7406,798607,1300784,249,634
4/27/2021,17,US,232407669,8097650,101463903,122669679,176437,70003,1639215,10381,633370,995178,286,494
4/28/2021,17,US,234639414,8124392,102356935,123980028,178059,70675,2231745,26742,893032,1310349,1622,672
4/29/2021,17,US,237360493,8166410,103474188,125540172,179723,71495,2721079,42018,1117253,1560144,1664,820
4/30/2021,17,US,240159677,8231139,104613893,127133399,181246,72338,2799184,64729,1139705,1593227,1523,843
5/1/2021,17,US,243463471,8318546,105947940,129013657,183328,73333,3303794,87407,1334047,1880258,2082,995
5/2/2021,18,US,245591469,8374395,106780082,130252779,184213,73974,2127998,55849,832142,1239122,885,641
5/3/2021,18,US,246780203,8409505,107155797,131030537,184364,74332,1188734,35110,375715,777758,151,358
5/4/2021,18,US,247769049,8449067,107477821,131657484,184677,74630,988846,39562,322024,626947,313,298
5/5/2021,18,US,249566820,8516437,108142826,132721153,186404,75172,1797771,67370,665005,1063669,1727,542
5/6/2021,18,US,251973752,8627243,109041458,134116885,188166,75897,2406932,110806,898632,1395732,1762,725
5/7/2021,18,US,254779333,8739657,110124671,135725061,189944,76742,2805581,112414,1083213,1608176,1778,845
5/8/2021,18,US,257347205,8844369,111094349,137216849,191638,77515,2567872,104712,969678,1491788,1694,773
5/9/2021,19,US,259716989,8933802,111933191,138657097,192899,78229,2369784,89433,838842,1440248,1261,714
5/10/2021,19,US,261599381,9038423,112529278,139838655,193025,78796,1882392,104621,596087,1181558,126,567
5/11/2021,19,US,263132561,9188411,112990115,140760689,193346,79258,1533180,149988,460837,922034,321,462
5/12/2021,19,US,264680844,9266062,113582961,141636737,195084,79724,1548283,77651,592846,876048,1738,466
5/13/2021,19,US,266596486,9352742,114354242,142692755,196747,80301,1915642,86680,771281,1056018,1663,577
5/14/2021,19,US,268438666,9431604,115127784,143680891,198387,80856,1842180,78862,773542,988136,1640,555
5/15/2021,19,US,270832342,9558399,116066454,145007116,200373,81577,2393676,126795,938670,1326225,1986,721
5/16/2021,20,US,272925411,9637126,116798390,146288690,201205,82207,2093069,78727,731936,1281574,832,630
5/17/2021,20,US,274411901,9697720,117247242,147265442,201497,82655,1486490,60594,448852,976752,292,448
5/18/2021,20,US,275535207,9751200,117620781,147961277,201949,82993,1123306,53480,373539,695835,452,338
5/19/2021,20,US,277290173,9836616,118181211,149068615,203731,83522,1754966,85416,560430,1107338,1782,529
5/20/2021,20,US,279397250,9944636,118904886,150342238,205490,84157,2107077,108020,723675,1273623,1759,635
5/21/2021,20,US,281595351,10051548,119668669,151668003,207131,84819,2198101,106912,763783,1325765,1641,662
5/22/2021,20,US,283941223,10163242,120493252,153075845,208884,85525,2345872,111694,824583,1407842,1753,706
5/23/2021,21,US,285720586,10265423,121125577,154119424,210162,86061,1779363,102181,632325,1043579,1278,536
5/24/2021,21,US,286890900,10323402,121500687,154856445,210366,86414,1170314,57979,375110,737021,204,353
5/25/2021,21,US,287788872,10381859,121801185,155394989,210839,86684,897972,58457,300498,538544,473,270
5/26/2021,21,US,289212304,10463078,122339269,156197160,212797,87113,1423432,81219,538084,802171,1958,429
5/27/2021,21,US,290724607,10539494,122947136,157023465,214512,87569,1512303,76416,607867,826305,1715,456
5/28/2021,21,US,292099778,10621136,123479196,157783315,216131,87983,1375171,81642,532060,759850,1619,414
5/29/2021,21,US,293705050,10710816,124067556,158708623,218055,88466,1605272,89680,588360,925308,1924,483
5/30/2021,22,US,294928850,10776617,124520914,159412031,219288,88835,1223800,65801,453358,703408,1233,369
5/31/2021,22,US,295891325,10832200,124854832,159984780,219513,89125,962475,55583,333918,572749,225,290
6/1/2021,22,US,296404240,10858664,125016707,160309262,219607,89279,512915,26464,161875,324482,94,154
6/2/2021,22,US,296912892,10889478,125201557,160601395,220462,89433,508652,30814,184850,292133,855,154
6/3/2021,22,US,297720928,10939901,125508313,161050513,222201,89676,808036,50423,306756,449118,1739,243
6/4/2021,22,US,299120522,11014773,125990795,161890897,224057,90098,1399594,74872,482482,840384,1856,422
6/5/2021,22,US,300268730,11077735,126359399,162606119,225477,90443,1148208,62962,368604,715222,1420,345
6/6/2021,23,US,301638578,11143068,126756059,163512789,226662,90856,1369848,65333,396660,906670,1185,413
6/7/2021,23,US,302851917,11194685,127058512,164371746,226974,91222,1213339,51617,302453,858957,312,366
6/8/2021,23,US,303923667,11245388,127310797,165140239,227243,91544,1071750,50703,252285,768493,269,322
6/9/2021,23,US,304753476,11296014,127513151,165715523,228788,91794,829809,50626,202354,575284,1545,250
6/10/2021,23,US,305687618,11346781,127759347,166351326,230164,92076,934142,50767,246196,635803,1376,282
6/11/2021,23,US,306509795,11383522,127990366,166905188,230719,92323,822177,36741,231019,553862,555,247
6/12/2021,23,US,308112728,11457011,128444425,167978845,232447,92806,1602933,73489,454059,1073657,1728,483
6/13/2021,24,US,309322545,11517956,128785935,168784549,234105,93171,1209817,60945,341510,805704,1658,365
6/14/2021,24,US,310645827,11606202,129191765,169612045,235815,93569,1323282,88246,405830,827496,1710,398
6/15/2021,24,US,311886674,11666437,129501089,170482950,236198,93943,1240847,60235,309324,870905,383,374
6/16/2021,24,US,312915170,11714877,129788011,171175575,236707,94253,1028496,48440,286922,692625,509,310
6/17/2021,24,US,314969386,11812739,130359975,172556760,239912,94871,2054216,97862,571964,1381185,3205,618
6/18/2021,24,US,316048776,11871036,130656013,173280164,241563,95197,1079390,58297,296038,723404,1651,326
6/19/2021,24,US,317117797,11931392,130974892,173968342,243171,95519,1069021,60356,318879,688178,1608,322
6/20/2021,25,US,317966408,11986595,131213452,174521867,244494,95774,848611,55203,238560,553525,1323,255
6/21/2021,25,US,318576441,12015721,131372107,174943983,244630,95958,610033,29126,158655,422116,136,184
6/22/2021,25,US,319223844,12047571,131557233,175373929,245111,96153,647403,31850,185126,429946,481,195
